Read	Ref	flag	MAPQ	refPos	readLength	refAlnLength	matches	Inss	Dels	SNPs	medianQ	meanQ
314667b8-e346-4f24-b31d-540b756f3c5b	NC_000962.3	0	60	3640572	1260	1170	1115	16	16	39	22.591270	24.000000
a001fbee-f0c7-4686-a7d8-e1c800d8209f	NC_000962.3	16	60	528753	743	643	600	18	10	25	17.775236	19.000000
39d6069d-12fd-402a-b227-072fe8dda7f6	NC_000962.3	16	60	781366	660	548	528	12	6	8	23.184849	25.000000
b1e22e14-c090-4eb6-b9ee-9f290fabc698	*	4	0	0	238	0	0	0	0	0	17.462185	18.000000
09af0239-45f0-4b84-a331-934db4dee8d8	NC_000962.3	16	60	3640746	599	487	459	20	13	8	19.841402	21.000000
04e101ac-ae9c-4e26-8773-1be204b2239d	NC_000962.3	16	60	1918277	397	312	276	8	2	28	18.821159	20.000000
02c4e70b-9959-4346-ae2a-193f7f8ca7c1	*	4	0	0	238	0	0	0	0	0	16.453781	16.000000
b1b99b7f-f51d-4916-8518-6dcb1916b30f	NC_000962.3	16	29	1460475	272	146	134	2	5	10	15.849265	15.000000
5c1bf0ca-9531-4bfa-9218-b5d4d2e6a4fa	NC_000962.3	16	60	761143	261	152	147	2	4	3	16.141762	17.000000
0be23abc-3204-45b0-9545-661c07dcdded	NC_000962.3	0	60	4247731	386	275	262	6	5	7	17.784973	17.000000
8c7692c9-feef-4648-9b94-7ddf5bfd9d5b	NC_000962.3	0	60	3122656	266	150	143	4	0	3	19.815790	22.000000
44005210-6489-4c72-804e-121aa49dd564	*	4	0	0	195	0	0	0	0	0	19.728205	20.000000
4a40c123-7ab1-4b1e-811f-6885da631307	*	4	0	0	283	0	0	0	0	0	19.007067	20.000000
caf83f74-3f9a-4d4c-a767-19df4b43f3ca	NC_000962.3	0	60	1674316	760	655	601	25	22	29	15.907895	14.000000
678902b6-ca86-42bd-8e90-ed48c25946c1	NC_000962.3	16	60	4243637	423	312	296	10	6	6	20.113476	22.000000
11c7ecc1-2d85-40ed-a76f-1dc62fe6d438	NC_000962.3	0	60	778944	584	474	440	18	12	16	18.597603	19.000000
34c796d9-7890-4256-9e86-f2b2ded48b43	NC_000962.3	16	60	4242943	852	750	704	28	15	18	18.914320	20.000000
5bed281e-7b82-4c22-bf23-a0ffb740e2ad	NC_000962.3	0	32	3119260	373	231	208	12	5	11	23.195711	25.000000
5bed281e-7b82-4c22-bf23-a0ffb740e2ad	NC_000962.3	256	0	3122549	373	225	196	9	11	20	0.000000	0.000000
a7a9b7d9-3a61-414a-8764-6626afd55ba9	NC_000962.3	16	60	2288474	913	812	779	13	8	20	20.520264	22.000000
bb06a0e7-c544-4309-97ee-67a51e77aaae	NC_000962.3	16	60	6503	1305	1202	1182	7	12	13	23.927969	26.000000
23665f89-7c19-48a4-86e3-8315503903df	*	4	0	0	169	0	0	0	0	0	23.082840	24.500000
f493ebc8-15ac-4187-ae5d-2019433a9ff0	NC_000962.3	0	41	1917836	265	128	115	4	1	9	15.675471	15.000000
e4b60bb9-5b4f-457b-ade0-52fcfe2bd7ef	NC_000962.3	16	60	528750	701	607	575	12	4	20	20.798859	22.000000
c2fb900d-9dea-42de-8e2d-0780c4c6cded	NC_000962.3	16	60	528857	631	527	500	11	5	16	18.267828	20.000000
73dd344d-f956-497f-b4ba-9149bf17e315	NC_000962.3	16	60	1475742	1138	1078	953	57	26	68	16.075571	16.000000
a45016b1-dc82-4659-aaf4-8b04b9cf4ec5	*	4	0	0	256	0	0	0	0	0	14.878906	14.000000
37819203-8524-4ce8-aa31-11d211f50a8e	*	4	0	0	242	0	0	0	0	0	15.247934	13.000000
1729640e-ea7e-4f96-9775-eb039d951b5a	*	4	0	0	294	0	0	0	0	0	20.234694	21.000000
a3acb32f-4bae-40fb-9fe5-9c92549aca4d	NC_000962.3	0	60	4243559	565	460	426	17	14	17	18.566372	19.000000
de2925f6-18d6-4307-8ab0-961d8cf2c7f4	NC_000962.3	0	60	1476063	657	571	528	17	6	26	18.712328	19.000000
a75139fa-d279-49fd-94e9-1e53bdd61bb5	NC_000962.3	16	9	800472	231	120	111	6	4	3	15.406926	14.000000
4d157845-8725-4e6a-b0be-455d9886b09d	NC_000962.3	0	60	3640899	887	827	720	44	24	63	14.971815	14.000000
d954f5c1-c4cb-499b-a698-5fd176c9d6e1	NC_000962.3	16	60	1674236	304	189	181	6	2	2	18.963816	20.000000
b64caf6a-83b7-47cc-9c0e-bab315943a2d	NC_000962.3	0	18	3122207	277	171	154	9	1	8	18.555956	20.000000
f5095c39-6895-4a45-af86-5d5b044dffa0	NC_000962.3	16	5	3640553	277	185	158	15	2	12	14.223826	12.000000
ab5174db-fa6d-40de-8572-d0c362d7930a	NC_000962.3	0	60	4243327	789	685	673	5	2	7	22.181242	23.000000
d1d829f2-dbb1-4d68-b332-3db38f8bb392	NC_000962.3	16	60	1674241	737	639	548	45	29	46	12.953867	11.000000
e68b96b1-2974-47a2-808d-9bc2db787dc8	NC_000962.3	0	60	1303157	632	516	500	6	6	10	21.903481	23.000000
b50106ee-7101-41a4-a547-76fae78161d6	NC_000962.3	16	60	1918009	630	535	476	34	12	25	14.557143	12.000000
7f0418c0-f537-46b8-a039-4cbba7e9c92f	NC_000962.3	0	60	3120202	275	158	152	3	2	3	21.552727	23.000000
5e772719-b4e9-478f-b053-9c39b7fe04ce	NC_000962.3	0	60	3640894	930	833	784	20	7	29	22.569893	25.000000
bc2597aa-a8b7-40c8-945c-c464011123d4	*	4	0	0	331	0	0	0	0	0	23.788519	26.000000
41ada07d-a6e7-4693-b19b-1698049439fe	NC_000962.3	16	32	2715145	642	545	445	53	37	47	13.186916	11.000000
7da284e5-400b-4a21-922d-a5bde53911d4	*	4	0	0	196	0	0	0	0	0	18.576530	20.000000
aeed067c-8fbe-44d9-95d3-a4434a0f8fa0	*	4	0	0	203	0	0	0	0	0	11.187192	10.000000
5f4ce262-5a85-4229-b923-6641cb246edb	NC_000962.3	0	60	1303029	1107	1019	961	20	9	38	20.598915	22.000000
aac202b0-9b30-47e3-a325-fe9c31bb46f0	*	4	0	0	285	0	0	0	0	0	13.950877	12.000000
f44e796a-9752-4399-a678-68b71cf8789c	NC_000962.3	0	60	3641188	340	227	210	9	5	8	14.979412	15.000000
379ea3b9-52a4-4e1f-a85d-3095dc3dcf84	NC_000962.3	0	60	4248314	251	138	132	3	3	3	20.231075	20.000000
b4b8e73b-571e-441b-b1de-ad5272c58cd1	NC_000962.3	0	60	4248063	517	405	377	12	9	16	17.684719	17.000000
63c16e5c-e273-4597-80fc-59d08aa3f237	NC_000962.3	0	60	6701	1132	983	935	20	7	28	21.606890	24.000000
4fb5a88a-61ba-4c59-ba44-b0832727e11c	NC_000962.3	16	60	1302974	780	653	635	15	10	3	21.255129	22.500000
682b9d19-2319-4982-9f2c-e374127a8b4b	NC_000962.3	0	60	2155058	478	361	331	18	10	12	14.161088	13.000000
ce776120-041b-4f10-b4cc-80f9008be333	NC_000962.3	16	60	778924	358	260	246	4	5	10	21.628492	24.000000
11d08561-e0dc-4208-9e16-24bd2853119b	NC_000962.3	0	60	3640695	1114	1031	973	19	13	39	18.957809	20.000000
4d51f4cd-99a3-4249-96a1-a91583047c2e	NC_000962.3	16	60	3640564	537	445	399	16	5	30	16.070763	16.000000
a76ed1fd-f9b3-4a22-98cf-880e79d390a6	NC_000962.3	0	35	3120200	281	160	154	4	2	2	20.989325	23.000000
ed4077d1-eb7f-4387-9146-848681c675c6	*	4	0	0	158	0	0	0	0	0	16.886076	16.000000
f157b3e1-1d0c-4388-8f89-db28bcbce2a8	NC_000962.3	16	60	3641302	301	185	164	14	6	7	18.049833	18.000000
b9d75673-29a4-45b8-90e1-cddca17614a5	*	4	0	0	226	0	0	0	0	0	14.057522	13.000000
75ad177f-2b86-402e-b8d2-0fbbc67ca365	NC_000962.3	16	60	1475741	1037	925	899	10	13	16	23.327869	25.000000
8a1fd9d9-16cb-4f66-bff6-20aac42f079e	NC_000962.3	16	60	3640554	412	293	283	6	8	4	19.958738	21.000000
07e38dab-5ef9-4710-a881-5a747469b404	NC_000962.3	16	60	3640676	1133	1036	960	35	24	41	18.155340	18.000000
55923e31-1d5b-4b41-9ddc-9709a293ef77	NC_000962.3	16	24	3640981	227	125	116	5	4	4	15.427313	14.000000
51a3f1e0-189a-4ec7-8d96-4680cfac1148	NC_000962.3	16	60	1460467	564	456	426	16	6	14	21.156029	23.000000
eaf5198e-5415-4bf5-beb6-e37753dcbcf8	NC_000962.3	16	1	4248287	249	164	134	13	4	17	17.530121	17.000000
fadeb541-7011-4c76-8ed4-aac18e23fa44	NC_000962.3	0	60	1674251	621	504	481	11	2	12	19.038647	19.000000
796b21dc-82bc-488f-8f2d-f2e9f9a5e616	NC_000962.3	0	60	781405	849	738	709	16	12	13	18.972910	19.000000
b9a56ac0-1a88-4885-b593-248af63e59ea	*	4	0	0	197	0	0	0	0	0	16.279188	18.000000
26bf1ab0-984d-4699-92f5-abf132754237	NC_000962.3	0	60	781665	795	692	646	22	17	24	19.550943	21.000000
be6f4a70-8876-4afe-8bfa-6582b1a31b2f	NC_000962.3	16	60	3640553	442	340	323	7	5	10	20.067873	22.000000
56ee151d-a6f6-4de9-a99a-4049aa0b6a30	NC_000962.3	0	16	3123028	202	80	73	1	0	6	21.366337	25.000000
caebac89-faf8-47ea-b922-a1e3fd12a26a	NC_000962.3	16	60	4247362	1063	966	877	48	22	41	16.767639	17.000000
f6d516cf-9d66-4bea-a082-b02b4e28b972	*	4	0	0	169	0	0	0	0	0	13.532544	12.000000
3898dde8-6f01-402b-b3c5-58914cba44be	*	4	0	0	193	0	0	0	0	0	14.523316	15.000000
c20a6b86-6b29-4496-b180-f1cb90c53264	NC_000962.3	16	60	4242943	715	601	579	13	12	9	17.408392	18.000000
9bae4f00-e005-44b9-b59d-57a3c92f5e2c	NC_000962.3	0	60	3986901	417	311	281	13	12	17	19.376499	20.000000
d3d6739d-d9f7-41bc-9c65-2cfabac95e12	*	4	0	0	431	0	0	0	0	0	23.744780	25.000000
12229b46-f669-43ed-887e-0672cffa07ba	NC_000962.3	0	60	3641538	391	174	169	0	1	5	19.335039	20.000000
f803ca78-c2b1-4574-af02-67aae3f4f37b	*	4	0	0	154	0	0	0	0	0	17.318182	18.000000
35a6200d-d448-4836-b58d-047de2dcce51	NC_000962.3	0	60	1303873	394	295	275	11	1	9	20.215736	21.000000
7179d969-34e2-451d-a42e-ba8d58c82578	NC_000962.3	16	60	1673391	400	302	289	5	5	8	20.442499	22.500000
47a23e7e-393e-4c68-aa40-2d7fe8d6ef97	NC_000962.3	0	60	1674265	352	273	236	14	1	23	17.585228	18.000000
a5f747da-0fd4-4d08-82cd-7ebe70f8da92	NC_000962.3	16	60	3642570	256	147	137	9	3	1	20.042969	20.000000
194ef66c-5eeb-4393-8446-702160f1bf39	NC_000962.3	0	32	4247635	247	139	127	4	0	8	15.753036	15.000000
4cf79f6c-0938-4add-bd5d-0516c947e5e5	NC_000962.3	16	60	4407722	667	562	526	14	21	22	17.389805	18.000000
e254ac5d-788b-4295-b921-ee2c5a265b11	NC_000962.3	16	60	2288472	857	823	700	45	17	78	12.343058	10.000000
55691814-a594-4ea5-b471-d3e566165be8	*	4	0	0	259	0	0	0	0	0	24.150579	26.000000
115d4c27-e589-4a66-8df5-4ac964da15ca	NC_000962.3	0	60	1472575	596	488	474	1	5	13	20.620806	23.000000
4153ac10-1fa9-4508-9d21-26f273ad504b	*	4	0	0	238	0	0	0	0	0	17.579832	18.000000
45cb813d-3977-452d-95f8-f1a3565a3e99	NC_000962.3	0	60	778922	647	554	517	17	8	20	17.987635	18.000000
93e2bfbd-6a74-4b03-bd59-09118007dd7f	NC_000962.3	16	60	1460472	856	744	706	16	15	22	19.998833	21.000000
bdd2a937-0cef-49c3-a01d-d42bfa199947	NC_000962.3	16	60	7094	711	611	567	23	16	21	16.095640	16.000000
19128f6d-f974-4714-b1b3-26384f02a340	NC_000962.3	0	53	3641385	279	162	152	8	7	2	17.268818	15.000000
4fae6e35-935a-423e-8036-bbd007f28dc8	NC_000962.3	16	60	1917721	615	514	489	13	3	12	23.629269	26.000000
3c8b9503-4582-48a0-8476-fd04eed479bc	NC_000962.3	0	60	1674638	437	332	308	12	15	12	16.517162	17.000000
51ad11be-081d-47cf-9aa0-c21a9f8300e5	NC_000962.3	16	60	528751	635	528	496	19	7	13	16.900787	17.000000
62274063-df1c-403e-8808-5afe4ebf50c1	NC_000962.3	0	60	3987212	612	500	476	15	7	9	20.264706	21.000000
2f03d884-a8f9-4f48-823b-d6c79da3750e	*	4	0	0	257	0	0	0	0	0	18.128405	17.500000
ea6f3ca4-11fc-40fb-994d-4ec116f0fe64	*	4	0	0	179	0	0	0	0	0	18.055866	16.000000
718498c1-a33a-4dc9-905a-776aa9ea0ecb	NC_000962.3	0	17	3120018	233	91	87	1	0	3	17.334764	19.000000
4e276772-3378-4723-81fa-5c0c20c1bdc8	NC_000962.3	0	60	1475960	300	191	182	9	2	0	22.190001	24.000000
cbf3e47e-706d-46d2-8588-b333c6ddc0f0	*	4	0	0	192	0	0	0	0	0	21.854166	24.000000
60da9e9a-b19c-452a-9106-6870e04e726d	*	4	0	0	235	0	0	0	0	0	19.804255	21.000000
fdcde2df-91b1-41da-91e5-801ec8b83bc8	NC_000962.3	16	53	1674233	234	131	123	3	0	5	18.743589	19.000000
9f6fc137-0796-4c55-a4be-e69460d6ba3e	NC_000962.3	16	60	1674235	761	656	617	19	22	20	15.173456	15.000000
044f8132-3d95-435b-bf1b-3e3a66cda60b	NC_000962.3	0	60	3986857	840	727	708	10	6	9	24.100000	26.000000
34a4ff77-1496-4d49-852a-c56113376130	NC_000962.3	16	60	4326623	651	544	490	26	23	28	11.915515	9.000000
22ee7fa8-a4bc-4007-84db-f2106b7cba5b	NC_000962.3	16	60	778559	487	355	326	14	10	15	18.394251	20.000000
b5ef78ca-3dd2-4722-ba7b-77bfb54d6de9	*	4	0	0	548	0	0	0	0	0	23.583942	25.000000
e3abaf4d-4688-46c9-bf59-7050d4ea8896	*	4	0	0	224	0	0	0	0	0	18.830357	20.500000
c9db78ed-14bb-4465-ac68-eaa53de14d4c	NC_000962.3	0	60	4247593	951	876	794	42	19	40	16.576235	16.000000
508a9e34-d4d0-4836-bc5a-d02be5412ccc	*	4	0	0	155	0	0	0	0	0	24.096775	26.000000
5b743875-c182-4345-b753-6f534e82266d	*	4	0	0	252	0	0	0	0	0	19.936508	21.000000
bd694d30-4e01-471c-9063-7b8b80940f03	NC_000962.3	0	60	1461067	429	314	295	12	4	7	20.659674	22.000000
319fc399-f246-4956-8059-f25d48deb6a8	NC_000962.3	0	60	6936	246	153	145	2	3	6	20.597561	21.000000
073db3d7-6317-4c3b-82c1-364a9fb5f50c	NC_000962.3	16	3	4248308	227	122	117	5	1	0	19.700441	20.000000
6fa50c9a-41d4-45f4-a1cb-38e01d28f675	NC_000962.3	16	46	1674234	336	221	206	11	6	4	19.419643	20.000000
3780dd28-d637-434f-a2fe-e52e9fa2f9cb	*	4	0	0	271	0	0	0	0	0	18.261993	19.000000
e04d7e6e-adfb-432b-a34f-b10fbd194450	NC_000962.3	16	60	4326611	241	129	126	3	1	0	21.319502	23.000000
70dc380e-5f5d-4cbe-ae44-be394a193f54	NC_000962.3	16	32	528754	185	70	70	0	0	0	19.945946	21.000000
22e3b2e9-1e4d-43e7-8055-1d2f8a4f7695	NC_000962.3	0	10	3119683	204	99	96	2	0	1	18.970589	21.000000
1e8f380e-69e1-4a46-871b-75f4b4544562	NC_000962.3	0	60	529151	611	521	484	10	10	27	21.682487	24.000000
1b1d54ff-2490-4ac5-9ec8-2ac421abed20	*	4	0	0	225	0	0	0	0	0	23.582222	26.000000
87a7a401-147f-4e6e-a25f-34f8484bbfd1	*	4	0	0	334	0	0	0	0	0	22.494013	24.000000
15c78ea4-94d1-4645-aae2-32cb880d10b1	NC_000962.3	0	60	3119550	263	158	145	1	4	12	23.482889	26.000000
5144390c-7f10-442e-95d4-70aa27cce62c	*	4	0	0	256	0	0	0	0	0	24.070312	26.000000
bd6393b2-9331-4b0c-b7a9-16c6780e1902	NC_000962.3	0	60	1475967	326	248	214	6	1	28	19.285276	20.000000
fa05366c-f3be-4952-9161-04d9ae87656b	NC_000962.3	16	60	1673854	436	344	306	12	2	26	16.071100	16.000000
b8976b7f-e41f-4e21-8d44-3331057ade94	NC_000962.3	0	60	2155361	257	159	150	2	1	7	19.848249	20.000000
98e30c35-05c3-452b-b5e6-0bae8cf981d4	*	4	0	0	236	0	0	0	0	0	20.652542	23.000000
0e6cf342-b7fc-4ab0-9b7b-87f27e891a39	NC_000962.3	16	60	1472953	603	515	468	19	12	28	16.557215	16.000000
b8e99524-9264-4bd6-8a6d-f0ade7135469	NC_000962.3	16	30	4247362	211	87	85	1	0	1	15.872038	15.000000
d130f683-ad41-45d3-b2d1-6174c2e94495	NC_000962.3	16	60	2715145	919	815	783	21	13	11	20.642002	22.000000
2f5000aa-4759-4178-8ac1-7c3b8a55dbd5	NC_000962.3	0	60	3120198	272	159	149	0	1	10	16.908089	18.000000
7e769eb8-7260-46b4-8710-b1475ac7dce3	*	4	0	0	231	0	0	0	0	0	19.878788	20.000000
40760b28-9e19-44a6-a9e6-804214e16a69	NC_000962.3	0	60	2154795	959	869	791	43	19	35	19.300312	20.000000
32d8fd00-db3d-40d6-9f78-bfd5b929bb25	NC_000962.3	0	60	4248285	303	183	178	5	6	0	18.867987	18.000000
07093c1f-e5da-4ddc-aabd-99d4fb66c9c6	NC_000962.3	0	54	3122657	202	87	85	2	0	0	23.049505	26.000000
bbafb8bd-ca54-4cf3-84b6-f13084276ada	NC_000962.3	0	60	3120137	259	147	146	1	1	0	24.505791	27.000000
5415f7ab-6ff2-41d8-8e8b-2a03cc41ce64	NC_000962.3	16	60	2715151	911	822	757	32	12	33	17.135017	18.000000
1b69eace-e1df-4eeb-ac83-85776209cd4f	NC_000962.3	0	60	2155172	566	491	443	23	11	25	18.335690	18.000000
5a89ba42-e8f5-4df1-b858-48e3ce68dbac	*	4	0	0	210	0	0	0	0	0	18.595238	21.000000
c71ac7b7-7078-4438-9a73-e6a995917039	NC_000962.3	16	60	2715268	560	465	422	19	13	24	15.578571	15.000000
a4c4f5d9-cfa1-46ac-97c1-dcd45f964140	NC_000962.3	16	31	1918558	229	129	110	6	0	13	16.620087	16.000000
c3e280f4-77d8-460a-816f-b3bb2e02747a	NC_000962.3	0	60	760370	829	723	702	10	9	11	25.068758	27.000000
021c094a-209a-4c54-bd7d-d353b8f4cff9	NC_000962.3	0	60	3641331	501	404	364	15	6	25	15.145709	15.000000
e9f41b65-933b-4c6b-bb1d-cc58bc5e1c64	NC_000962.3	16	60	2155261	459	338	335	1	1	2	21.102396	24.000000
ff1fd3d8-9d51-4ec2-bb51-10e9718991e0	NC_000962.3	0	60	1460581	300	179	170	5	3	4	17.776667	18.000000
a7e1a29c-316a-4a31-943a-7ed38aa39722	NC_000962.3	0	60	491047	883	815	757	20	21	38	16.021517	16.000000
66f6afc5-d53b-4489-9cac-2aa1d87ef31c	NC_000962.3	16	60	1460561	774	688	630	31	4	27	16.562016	17.000000
7e5c571b-49f2-4534-9849-b590527cfa9a	NC_000962.3	16	60	528748	591	480	467	4	5	9	22.108292	25.000000
b2033b09-f036-46cc-8934-8dc4593429e0	NC_000962.3	16	60	4326610	269	164	161	2	2	1	17.828997	18.000000
61016137-4d03-498e-852f-ce57a5e4b273	*	4	0	0	183	0	0	0	0	0	17.076502	17.000000
8111f762-a3c5-4e71-b473-e85079eec3d7	NC_000962.3	0	60	1303017	450	340	317	9	3	14	21.197779	23.000000
140e85e0-1de4-48a6-8a37-332d2a5e0af4	*	4	0	0	201	0	0	0	0	0	17.661692	19.000000
e5c2c2c8-08c8-4c02-a63e-e5fd1aef0a79	*	4	0	0	218	0	0	0	0	0	18.697248	20.000000
e12ac286-83b7-402d-a462-bda90106e65e	NC_000962.3	16	60	1475742	270	157	139	9	1	9	15.133333	15.000000
045458e0-b9a6-4ac9-92b4-0437eea3fdcc	NC_000962.3	16	27	1460827	259	169	144	8	3	17	19.810810	21.000000
ae7b55b9-00ef-4fe5-8955-b929c061ceaf	*	4	0	0	270	0	0	0	0	0	17.259260	17.000000
21598992-d3d0-467f-9fe9-79aebcd1040b	*	4	0	0	252	0	0	0	0	0	15.861111	15.000000
20a46915-8f8a-45a1-9305-668372846f02	NC_000962.3	0	60	4247824	734	642	625	6	5	11	23.392370	25.000000
90d1f998-91fa-4754-9c3e-857eb59b5d27	*	4	0	0	453	0	0	0	0	0	24.116999	27.000000
80dfa55a-e6a3-4975-920f-903b2bdde035	*	4	0	0	369	0	0	0	0	0	16.509485	16.000000
3ab8d1b6-8758-42ae-aff1-245e122a3845	NC_000962.3	16	60	2154737	924	808	760	28	21	20	19.949135	21.000000
07a7ec23-73ca-4c60-b9ce-661ffac702b7	*	4	0	0	330	0	0	0	0	0	15.415152	14.000000
cec69555-ee57-4a6b-91fa-6e569b9a870b	NC_000962.3	16	60	2155306	287	178	161	9	2	8	20.125435	21.000000
40b71ef1-8408-4c72-a0eb-e13a2443504a	NC_000962.3	0	60	6846	983	895	841	15	16	39	21.266531	23.000000
00bdc2b3-1b14-4a55-b0cf-fdb0e538d407	NC_000962.3	16	60	1304902	838	698	670	15	6	13	22.702864	24.000000
5ba1fc1a-6688-40e7-a0f8-3e29b34c6612	NC_000962.3	16	60	760653	377	258	254	4	7	0	20.533157	20.500000
8bbbd09f-154d-4c00-82b2-df58584dd9e4	*	4	0	0	226	0	0	0	0	0	20.314159	22.000000
